stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\17898981\projetos\Patronicos\build\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.62865] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62871] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.62881] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62888] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.62895] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62901] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.62910] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62918] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.62927] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62934] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.62958] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62965] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.62976] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.62986] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.62996] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63012] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63022] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63030] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63040] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63048] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63059] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63065] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.63073] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63079] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.63086] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.63093] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.63102] Single Buffer requirement not met.
